snr,rep,MSE
0.1,0,61.46264527934603
0.1,1,43.06022988751224
0.1,2,20.515753334779845
0.1,3,34.701537387637515
0.1,4,84.12613212832456
0.1,5,55.866422964938856
0.1,6,90.44513105862009
0.1,7,84.25108949862788
0.1,8,72.98921510849021
0.1,9,88.12792617475644
0.1,10,101.0909800283572
0.1,11,37.23784295030165
0.1,12,59.50393357518951
0.1,13,55.39684365842275
0.1,14,57.56284604226172
0.1,15,37.480637024549175
0.1,16,26.05183900390139
0.1,17,35.88708731996775
0.1,18,40.275671224789
0.1,19,19.21806853780255
0.1,20,44.88394130755128
0.1,21,64.52173985726482
0.1,22,32.862941722989895
0.1,23,20.45171586089816
0.1,24,41.315032212771314
0.1,25,86.57500290826937
0.1,26,37.32986541459644
0.1,27,45.593968696601905
0.1,28,11.688817553817929
0.1,29,87.39288307454578
0.1,30,41.17050232714762
0.1,31,41.237104019711595
0.1,32,39.76176710443414
0.1,33,89.14176954307074
0.1,34,34.565561974599596
0.1,35,53.85979878612139
0.1,36,71.59263433127525
0.1,37,37.52183942930971
0.1,38,25.91957420882915
0.1,39,36.62406599594667
0.1,40,27.336940982401966
0.1,41,61.83463017571999
0.1,42,34.61022820227008
0.1,43,57.777667150198894
0.1,44,28.48140365793283
0.1,45,100.32988314030116
0.1,46,67.97864871597508
0.1,47,49.51833115645318
0.1,48,58.20228298825392
0.1,49,44.03602364588166
0.1,50,42.59853493301947
0.1,51,97.55470060246967
0.1,52,24.489909818282563
0.1,53,25.214024190539714
0.1,54,38.488837710747084
0.1,55,33.51499612799212
0.1,56,153.73613533447224
0.1,57,51.02201514156198
0.1,58,229.74556450213134
0.1,59,40.48627157696868
0.1,60,59.39596333488779
0.1,61,20.956399020849016
0.1,62,45.90464049643712
0.1,63,66.08874948112552
0.1,64,65.70385351775127
0.1,65,44.67419606350446
0.1,66,13.31254942429014
0.1,67,65.3632242138792
0.1,68,33.83094887057031
0.1,69,21.244460964191042
0.1,70,73.07379487646091
0.1,71,36.837247090856884
0.1,72,50.381100552022765
0.1,73,58.540706966882475
