assignment,label,GenTE MSE,GenTE MSE std,GenTE MSE median,GenTE MSE q25,GenTE MSE q75
rct,RCT,5.245607614248932,1.5971638182144523,5.036214435948865,3.8924825547888053,6.317563935942539
logit,Linear logit,5.097502802244087,1.5411177964051945,4.77981553471663,4.1136251841209,5.969322641677909
nonlinear,Nonlinear logit,4.9927627656061695,1.3333737053062784,4.880581413124579,3.9714194700729415,5.939004419892813
trig,Trigonometric,5.206230830655992,1.749918859013191,5.104825667413936,4.02490893878032,6.104004551907547
