assignment,label,rep,MSE
rct,RCT,0,6.274364273919992
rct,RCT,1,2.2440312816661567
rct,RCT,2,4.337712082221992
rct,RCT,3,3.059303983711495
rct,RCT,4,5.9822839794395835
rct,RCT,5,3.4125070183084842
rct,RCT,6,7.757902518514287
rct,RCT,7,9.479440865671043
rct,RCT,8,6.7684437629543135
rct,RCT,9,3.7968661490373496
rct,RCT,10,6.2771284681671675
rct,RCT,11,5.6344407371176635
rct,RCT,12,5.940968057721764
rct,RCT,13,3.3021690508835
rct,RCT,14,3.659884310934038
rct,RCT,15,4.28744693619731
rct,RCT,16,3.724548155606879
rct,RCT,17,2.5675143595004797
rct,RCT,18,5.699802115951174
rct,RCT,19,3.8950887836812846
rct,RCT,20,3.808316200311257
rct,RCT,21,6.654995420696687
rct,RCT,22,5.181441790323064
rct,RCT,23,4.868815873418709
rct,RCT,24,4.997237055909876
rct,RCT,25,5.892201487867791
rct,RCT,26,4.295749113663313
rct,RCT,27,4.460191252865973
rct,RCT,28,3.629960944329377
rct,RCT,29,3.5256184664601653
rct,RCT,30,4.1019234453738616
rct,RCT,31,4.940330578664078
rct,RCT,32,3.665377226692457
rct,RCT,33,6.820292074420849
rct,RCT,34,4.054906320819261
rct,RCT,35,5.107979901861049
rct,RCT,36,3.852898217926837
rct,RCT,37,3.7097739429219545
rct,RCT,38,5.200469509265918
rct,RCT,39,4.178134023234203
rct,RCT,40,5.301972248359449
rct,RCT,41,9.045246712009542
rct,RCT,42,3.518242948512174
rct,RCT,43,3.707543277688485
rct,RCT,44,3.0135740806275666
rct,RCT,45,7.330760477320028
rct,RCT,46,5.838838770465436
rct,RCT,47,6.967844326269609
rct,RCT,48,5.3831681612805005
rct,RCT,49,4.315269062680853
rct,RCT,50,4.706614752467589
rct,RCT,51,6.3005473457921815
rct,RCT,52,2.910662742882933
rct,RCT,53,4.222514537581557
rct,RCT,54,5.95095900022961
rct,RCT,55,3.884663868111368
rct,RCT,56,9.33098617511116
rct,RCT,57,6.774640657971253
rct,RCT,58,6.75164602717037
rct,RCT,59,4.656546233580395
rct,RCT,60,5.032050713224716
rct,RCT,61,6.597367056422651
rct,RCT,62,3.873804136329008
rct,RCT,63,4.121726025506857
rct,RCT,64,4.437568046427378
rct,RCT,65,5.885595748478319
rct,RCT,66,3.8496083751110906
rct,RCT,67,4.5302063269373525
rct,RCT,68,5.455039191876543
rct,RCT,69,6.381882431653231
rct,RCT,70,7.005272722999087
rct,RCT,71,5.040378158673014
rct,RCT,72,7.04072369156076
rct,RCT,73,6.701214852816455
rct,RCT,74,7.449902302366379
rct,RCT,75,5.750992682566964
rct,RCT,76,6.368613706393611
rct,RCT,77,2.435806175899557
rct,RCT,78,4.675069733387081
rct,RCT,79,4.883294491505079
rct,RCT,80,6.628149380769539
rct,RCT,81,6.897195663578141
rct,RCT,82,9.732381990224601
rct,RCT,83,5.816308598234496
rct,RCT,84,4.121565435130682
rct,RCT,85,6.645425504541899
rct,RCT,86,5.630346600263423
rct,RCT,87,3.8412164484781135
rct,RCT,88,5.090963320052172
rct,RCT,89,5.598972507094292
rct,RCT,90,3.49611812220437
rct,RCT,91,4.7481705430185865
rct,RCT,92,7.026105105508185
rct,RCT,93,7.179391364855858
rct,RCT,94,5.4710534062165666
rct,RCT,95,4.969277349108056
rct,RCT,96,6.235591897892524
rct,RCT,97,4.685006957496375
rct,RCT,98,3.028294916087491
rct,RCT,99,9.242408599658031
logit,Linear logit,0,6.066132622258341
logit,Linear logit,1,4.57134172395909
logit,Linear logit,2,4.848547874300337
logit,Linear logit,3,2.7294301957987575
logit,Linear logit,4,5.279881416762916
logit,Linear logit,5,3.4133938870766083
logit,Linear logit,6,8.494528524210944
logit,Linear logit,7,7.175709306339074
logit,Linear logit,8,6.071546928547744
logit,Linear logit,9,2.9137051997893915
logit,Linear logit,10,6.750361128257816
logit,Linear logit,11,5.460839734700311
logit,Linear logit,12,4.027748915398087
logit,Linear logit,13,4.738185623444475
logit,Linear logit,14,2.8129373724988573
logit,Linear logit,15,4.92351129288031
logit,Linear logit,16,3.8983127402531665
logit,Linear logit,17,5.105524519060278
logit,Linear logit,18,5.691976888901694
logit,Linear logit,19,4.581290464137538
logit,Linear logit,20,5.05550261117569
logit,Linear logit,21,6.112580318699465
logit,Linear logit,22,5.18464172027639
logit,Linear logit,23,4.782970210395295
