effect,n_samples,n_features,GRF MSE,GRF MSE std,GenTE MSE,GenTE MSE std,DML MSE,DML MSE std,gain vs GRF (%),gain vs DML (%)
linear,200,2,0.8000770872067552,0.18787612135427936,0.10660177218562254,0.06707529245333137,0.464536164209407,0.14756527998626276,86.67606235821691,77.05199715353747
linear,200,4,0.8605399794326251,0.1876746690274159,0.3449012456936022,0.16498386295369377,0.6099933963015588,0.1664599970878917,59.920369310324894,43.458200074825825
linear,200,8,0.9938488396701243,0.22187552327128074,0.7119747349404527,0.37951609164041944,0.8082430661524816,0.2149206009904772,28.361868875676354,11.910814363097444
linear,500,2,0.2978354698239644,0.06274916899299869,0.06362255803360667,0.04616535903003112,0.22518636547170703,0.07031200060629113,78.63835423255303,71.74670948645851
linear,500,4,0.3541629354390308,0.06714585928497409,0.22198051037244074,0.1382946333736734,0.2814084511860899,0.06695198209786057,37.322489690439475,21.118036989710255
linear,500,8,0.4999073494558107,0.12993833645903147,0.40931682223471627,0.23235858880270868,0.41876304457457325,0.11554510157702606,18.121463371104575,2.2557440209303836
linear,1000,2,0.16112058180125516,0.03366183426823328,0.05320015991532717,0.04614541296549652,0.12624081031949103,0.03278965599777086,66.98115205359025,57.85819198982652
linear,1000,4,0.2030204497713424,0.03873889711207623,0.16984788705956738,0.10067104107596109,0.16090169697709164,0.03742983072242027,16.339517890506382,-5.560034636396316
linear,1000,8,0.29255078232833187,0.07094245439715671,0.3022055629146816,0.14727682709512355,0.2420603859200385,0.05825514002046701,-3.3002067229183085,-24.84717884177514
non-linear,200,2,2.6462591967775326,0.94302750100705,0.3461415213440297,0.29693373305342874,2.3808994381147603,0.9526596451413176,86.91959118118355,85.46173283076118
non-linear,200,4,2.5285489584533507,0.7010785076002183,0.6599958516717013,0.3934908811601741,2.3724578876755738,0.6640560805952387,73.89823718994137,72.18092447076752
non-linear,200,8,2.5250297056506863,0.7659261371213426,1.456984021422655,0.6330135178388255,2.455403011038025,0.7681757977628523,42.298341355663446,40.66212288276404
non-linear,500,2,1.7116214664455103,0.4772718809250548,0.17398186728118514,0.10045891474894124,1.3649078686840794,0.4593539454240209,89.83526026683401,87.25321530683806
non-linear,500,4,1.7143439452848188,0.4431756694269107,0.3475011219782027,0.23111039066814168,1.3644859021690257,0.4586895953415422,79.72978975811826,74.53245054230277
non-linear,500,8,2.1489004835995202,0.5334216045817742,0.6876420799090045,0.3046535549363039,1.7702270931520132,0.5217878802388635,68.00028269540113,61.15514881852759
non-linear,1000,2,1.025528963053545,0.29488069801743344,0.13664751928566785,0.06298667957385178,0.8252242118724176,0.2657352280131375,86.67541101142618,83.44116455628256
non-linear,1000,4,1.0733483795969148,0.2732900361308414,0.2745078524541139,0.1192933891725076,0.8287686686198329,0.23641023468466157,74.42509275905344,66.87762667099155
non-linear,1000,8,1.3767323600641364,0.37555351168516066,0.5654695134421464,0.25869921957044234,1.0507421189993262,0.31911648640620965,58.926692664084435,46.18379684059196
interaction,200,2,1.0788456548248375,0.34617900613246405,0.35750854705749036,0.20622511605393606,1.0157272952643621,0.3580341905125251,66.86193752937386,64.80270356774827
interaction,200,4,1.001545111109998,0.2695324043211291,0.5780010687333976,0.2582455469910364,0.9925510196631341,0.2703538517140844,42.28906293668516,41.766110025299476
interaction,200,8,1.0235665802240788,0.27073280636921393,1.1687405228317589,0.4529956430780194,1.0168977562010404,0.2870264828990886,-14.18314601243611,-14.931960042667193
interaction,500,2,0.7849302343307802,0.1623598682204486,0.22709721050811735,0.10783355730100842,0.7504137500118303,0.16726564918064965,71.06784774296062,69.73706698410882
interaction,500,4,0.8801331610847691,0.17405868394606175,0.3765592382225559,0.1415238977397884,0.8360351043283267,0.1721100382759823,57.215651577263095,54.958920232771234
interaction,500,8,1.0086675546523203,0.1824868594094575,0.6655729475303552,0.27614318899060897,0.9718387065845581,0.18586175846112676,34.01463698713171,31.514052381237935
interaction,1000,2,0.6073387474126892,0.11935697771799725,0.2026551068373613,0.09416721144311031,0.5609268260194004,0.12151516526251446,66.63227767029719,63.87138260519703
interaction,1000,4,0.7529732858716878,0.10212401527910638,0.3078134771662536,0.11534477427009235,0.6777838202208615,0.10078312633873311,59.120265892313824,54.58530168720315
interaction,1000,8,0.9073392357203524,0.11821289945231506,0.521286283134453,0.1914071410640722,0.8637794443841825,0.11547319770669609,42.547807632214344,39.65053388066029
non-linear interaction,200,2,2.8815037630568257,2.0928239863658047,1.9544927637286105,1.6401899192018978,2.756385182847262,2.0232592071590796,32.171084112859226,29.09217565486697
non-linear interaction,200,4,2.470203990066866,1.4067185152697281,2.1547909508303684,1.1388314758502602,2.407804155348405,1.3853824310739902,12.768704143658983,10.508047506937945
non-linear interaction,200,8,2.6633627701591553,1.4221770609794855,3.1974045219641467,1.5496546718044601,2.5909829403496856,1.41367575083575,-20.051408609765865,-23.405078133498524
non-linear interaction,500,2,2.2252490222528203,0.9375996320187246,1.4034803841142243,0.9297140677506069,2.290482430295891,0.9405514564092438,36.92928880861368,38.725555561981814
non-linear interaction,500,4,2.02872295583362,0.8072279494379736,1.6324048917844334,0.7869541416697562,2.073976878002287,0.8030744645057346,19.535346751490568,21.291075657660574
non-linear interaction,500,8,2.4290680544847527,0.8857483203914402,2.5189553103450386,1.0187958584001684,2.4827941998859213,0.8715152882213923,-3.700483224186679,-1.4564682993370548
non-linear interaction,1000,2,1.9413316082557628,0.6702872729941587,1.3643492564141548,0.6409875408955984,1.9523565979452393,0.6797916586189445,29.720957995425213,30.117824896841782
non-linear interaction,1000,4,1.8533028180338125,0.5787953768275516,1.5245711385370948,0.6410198916280475,1.8071909141768798,0.5931801522772424,17.737612887540543,15.63862309303994
