covariates,n,share treated,accuracy train,accuracy test,pi min,pi median,pi max,n outside,share outside
full,120,0.5,1.0,0.975,0.007076924814183709,0.9758239032343865,0.9941107241591314,120,1.0
radius,120,0.5,0.425,0.36666666666666664,0.3534497294039845,0.5269374094754878,0.5658963258004581,0,0.0
